ID,Title,FacultyID_1,FacultyID_2,CallNum,Requirements,Location,Schedule,Points,Section,Type,Session,Year,Semester
A4002,CORE ARCHITECTURE STUDIO II,590,null,65796,STUDIO-REQUIRED 1ST YR MARCH,500 AVERY NORTH,"M, W, & F 2 PM - 6 PM",9,1,ARCH,FULL SEMESTER,2016,3
A4004,ADVANCED STUDIO IV,609,null,71196,STUDIO- REQUIRED 2ND YR MARCH,500 AVERY SOUTH,"MTH 1:30 PM - 6:30 PM , W 3 PM - 5 PM",9,1,ARCH,FULL SEMESTER,2016,3
A4006,ADVANCED STUDIO VI,619,null,87530,STUDIO- REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"MTH 1:30 Pm - 6:30 PM,F 3 Pm - 5 Pm",9,1,ARCH,FULL SEMESTER,2016,3
A4010,DESIGN STUDIO,767,766,88005,NY/P STUDENTS ONLY,REIDHALL,"TBA",3,1,NYP,FULL SEMESTER,2016,3
A4015,FRENCH SEMINAR - CONVERSATION,768,null,12096,NY/P STUDENTS ONLY,REIDHALL,"TBA",3,1,NYP,FULL SEMESTER,2016,3
A4017,FRENCH INTENSIVE I,769,null,13296,NY/P STUDENTS ONLY,REIDHALL,"TBA",1.5,1,NYP,TBA,2016,3
A4024,ARCHITECTURAL DRWG + REP II,415,490,73316,VISUAL STUDIES -REQUIRED 1ST YR,113 AVERY,"TU 10 AM- 12 PM",3,1,ARCH,FULL SEMESTER,2016,3
A4029,ARCHITECTURE, PLANNING AND PRESERVATION : PARIS,770,null,16347,NY/P STUDENTS ONLY,REIDHALL,"TBA",3,1,NYP,FULL SEMESTER,2016,3
A4030 ,THE DEVELOPMENT OF PARIS,771,null,17698,NY/P STUDENTS ONLY,REIDHALL,"TBA",3,1,NYP,FULL SEMESTER,2016,3
A4031,HISTORY OF EUROPEAN CITIES,772,null,20796,NY/P STUDENTS ONLY,REIDHALL,"TBA",3,1,NYP,FULL SEMESTER,2016,3
A4033,CCCP ARCH COLLOQIUM II,432,null,62846,CCCP REQUIRED 1ST YR ,412 AVERY,"W 11 Am - 1 PM",3,1,ARCH,FULL SEMESTER,2016,3
A4037,IMAGINATIVE TRANSFORMATIONS  ,773,null,21948,NY/P STUDENTS ONLY,REIDHALL,"TBA",1.5,1,NYP,TBA,2016,3
A4041 ,CCCP THESIS II,420,null,68696,CCCP REQUIRED 2ND YR,tba,"TBA ",9,1,ARCH,FULL SEMESTER,2016,3
A4044,WORKSHOP IN URBAN STUDIES,774,null,22997,NY/P STUDENTS ONLY,REIDHALL,"TBA",3,1,NYP,FULL SEMESTER,2016,3
A4050,ARCH ELECTIVE INTERNSHIP,422,null,12782,null,null,"BY APT ",1.5,1,ARCH,null,2016,3
A4051,RE-DRAW I,775,null,26146,NY/P STUDENTS ONLY,REIDHALL,"TBA",1.5,1,NYP,TBA,2016,3
A4052,RE-DRAW II,775,null,27246,NY/P STUDENTS ONLY,REIDHALL,"TBA",1.5,1,NYP,TBA,2016,3
A4060,ARCHITECTURAL PHOTOGRAPHY I ,776,null,28146,NY/P STUDENTS ONLY,REIDHALL,"TBA",1.5,1,NYP,TBA,2016,3
A4061,CINEMA + ARCHITECTURE,777,null,28280,NY/P STUDENTS ONLY,REIDHALL,"TBA",1.5,1,NYP,TBA ,2016,3
A4102,ARCHITECTURE STUDIO II,590,null,78596,STUDIO SECTION VIA LOTTERY REQUIRED 1ST YR MARCH,500 AVERY NORTH,"null",0,1,ARCH,FULL SEMESTER,2016,3
A4102,ARCHITECTURE STUDIO II,600,null,83247,STUDIO SECTION VIA LOTTERY REQUIRED 1ST YR MARCH,500 AVERY NORTH,"null",0,2,ARCH,FULL SEMESTER,2016,3
A4102,ARCHITECTURE STUDIO II,601,null,86596,STUDIO SECTION VIA LOTTERY REQUIRED 1ST YR MARCH,500 AVERY NORTH,"null",0,3,ARCH,FULL SEMESTER,2016,3
A4102,ARCHITECTURE STUDIO II,673,null,87748,STUDIO SECTION VIA LOTTERY REQUIRED 1ST YR MARCH,500 AVERY NORTH,"null",0,4,ARCH,FULL SEMESTER,2016,3
A4102,ARCHITECTURE STUDIO II,382,null,88697,STUDIO SECTION VIA LOTTERY REQUIRED 1ST YR MARCH,500 AVERY NORTH,"null",0,5,ARCH,FULL SEMESTER,2016,3
A4102,ARCHITECTURE STUDIO II,376,null,91546,STUDIO SECTION VIA LOTTERY REQUIRED 1ST YR MARCH,500 AVERY NORTH,"null",0,6,ARCH,FULL SEMESTER,2016,3
A4102,ARCHITECTURE STUDIO II,389,null,13004,STUDIO SECTION VIA LOTTERY REQUIRED 1ST YR MARCH,500 AVERY NORTH,"null",0,7,ARCH,FULL SEMESTER,2016,3
A4102,ARCHITECTURE STUDIO II,674,null,29693,STUDIO SECTION VIA LOTTERY REQUIRED 1ST YR MARCH,500 AVERY NORTH,"null",0,8,ARCH,FULL SEMESTER,2016,3
A4104,ARCHITECTURE STUDIO IV,609,null,82097,STUDIO SECTION VIA LOTTERY REQUIRED 2ND YR MARCH,500 AVERY SOUTH,"null",0,1,ARCH,FULL SEMESTER,2016,3
A4104,ARCHITECTURE STUDIO IV,675,null,83746,STUDIO SECTION VIA LOTTERY REQUIRED 2ND YR MARCH,500 AVERY SOUTH,"null",0,2,ARCH,FULL SEMESTER,2016,3
A4104,ARCHITECTURE STUDIO IV,381,null,86397,STUDIO SECTION VIA LOTTERY REQUIRED 2ND YR MARCH,500 AVERY SOUTH,"null",0,3,ARCH,FULL SEMESTER,2016,3
A4104,ARCHITECTURE STUDIO IV,384,null,87096,STUDIO SECTION VIA LOTTERY REQUIRED 2ND YR MARCH,500 AVERY SOUTH,"null",0,4,ARCH,FULL SEMESTER,2016,3
A4104,ARCHITECTURE STUDIO IV,383,null,87896,STUDIO SECTION VIA LOTTERY REQUIRED 2ND YR MARCH,500 AVERY SOUTH,"null",0,5,ARCH,FULL SEMESTER,2016,3
A4104,ARCHITECTURE STUDIO IV,377,null,88596,STUDIO SECTION VIA LOTTERY REQUIRED 2ND YR MARCH,500 AVERY SOUTH,"null",0,6,ARCH,FULL SEMESTER,2016,3
A4104,ARCHITECTURE STUDIO IV,379,null,91298,STUDIO SECTION VIA LOTTERY REQUIRED 2ND YR MARCH,500 AVERY SOUTH,"null",0,7,ARCH,FULL SEMESTER,2016,3
A4104,ARCHITECTURE STUDIO IV,706,null,91847,STUDIO SECTION VIA LOTTERY REQUIRED 2ND YR MARCH,500 AVERY SOUTH,"null",0,8,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,393,null,17297,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,1,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,707,null,21248,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,2,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,418,null,21996,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,3,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,394,null,22697,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,4,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,405,null,23347,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,5,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,669,null,25996,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,6,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,397,null,26597,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,7,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,596,null,27198,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,8,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,621,null,27796,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,9,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,708,620,28346,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,10,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,778,null,26030,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,11,ARCH,FULL SEMESTER,2016,3
A4845,PLAY,780,null,96196,VISUAL STUDIES ,TBA,"TBA",2.5,1,VS,null,2016,3
A4106,STUDIO VI,390,749,29529,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,12,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,619,null,92066,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,13,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,709,null,19255,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,14,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,710,null,63444,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,15,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,711,750,27193,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,16,ARCH,FULL SEMESTER,2016,3
A4106,STUDIO VI,779,null,93630,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"null",0,17,ARCH,FULL SEMESTER,2016,3
A4112,AT II STRUCTURES IN ARCHITECTURE,426,null,18196,TECH REQUIRED 1ST YR ,114 AVERY,"F 10 AM - 1 PM",3,1,ARCH,FULL SEMESTER,2016,3
A4115,AT V URBAN SYSTEMS INTEGRATION,705,null,69256,TECH REQUIRED 2ND YR ,113 AVERY,"TU 2 PM - 5 PM",3,1,ARCH,FULL SEMESTER,2016,3
A4330,URBAN HISTORY ,629,null,81530,HISTORY/THEORY-  PRE-1750 OR URBAN,WARE LOUNGE,"M 11 AM - 1 PM",3,1,ARCH,FULL SEMESTER,2016,3
A4349,HISTORY OF ARCHITECTURE II,630,null,81496,HISTORY/ THEORY -REQUIRED 1ST YR (LECTURE),114 AVERY,"W 11:30- 1:30 PM ",3,1,ARCH,FULL SEMESTER,2016,3
A4356,CONTEMPORARY CHINESE CITY,596,null,66546,HISTORY/THEORY-URBAN OR  NON WESTERN,300 BUELL SOUTH,"M 11 AM - 1 PM",3,1,ARCH,FULL SEMESTER ,2016,3
